ds,y
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,1
2/29/20,1
3/1/20,1
3/2/20,1
3/3/20,1
3/4/20,3
3/5/20,3
3/6/20,4
3/7/20,5
3/8/20,5
3/9/20,5
3/10/20,5
3/11/20,5
3/12/20,5
3/13/20,5
3/14/20,6
3/15/20,8
3/16/20,8
3/17/20,12
3/18/20,20
3/19/20,28
3/20/20,39
3/21/20,52
3/22/20,102
3/23/20,102
3/24/20,155
3/25/20,205
3/26/20,283
3/27/20,368
3/28/20,451
3/29/20,514
3/30/20,589
3/31/20,647
4/1/20,708
4/2/20,797
4/3/20,868
4/4/20,950
4/5/20,1039
4/6/20,1106
4/7/20,1160
4/8/20,1210
4/9/20,1239
