ds,y
1/23/20,99
1/24/20,287
1/25/20,493
1/26/20,684
1/27/20,809
1/28/20,2651
1/29/20,588
1/30/20,2068
1/31/20,1693
2/1/20,2111
2/2/20,4749
2/3/20,3094
2/4/20,4011
2/5/20,3743
2/6/20,3159
2/7/20,3597
2/8/20,2729
2/9/20,3030
2/10/20,2612
2/11/20,2040
2/12/20,419
2/13/20,15147
2/14/20,6517
2/15/20,2145
2/16/20,2194
2/17/20,2034
2/18/20,1878
2/19/20,503
2/20/20,558
2/21/20,622
2/22/20,1753
2/23/20,386
2/24/20,603
2/25/20,845
2/26/20,982
2/27/20,1358
2/28/20,1366
2/29/20,1899
3/1/20,2358
3/2/20,1937
3/3/20,2534
3/4/20,2280
3/5/20,2766
3/6/20,3915
3/7/20,4046
3/8/20,3974
3/9/20,3769
3/10/20,5030
3/11/20,7255
3/12/20,2477
3/13/20,16853
3/14/20,10896
3/15/20,11353
3/16/20,14120
3/17/20,15528
3/18/20,17719
3/19/20,27749
3/20/20,29638
3/21/20,32299
3/22/20,32446
3/23/20,41282
3/24/20,39810
3/25/20,49608
3/26/20,61938
3/27/20,63700
3/28/20,67402
3/29/20,59447
3/30/20,62249
3/31/20,75098
4/1/20,75118
4/2/20,80861
4/3/20,82451
4/4/20,101491
4/5/20,74707
4/6/20,72986
4/7/20,80995
4/8/20,85008
4/9/20,84246
