ds,y
1/22/20,555
1/23/20,654
1/24/20,941
1/25/20,1434
1/26/20,2118
1/27/20,2927
1/28/20,5578
1/29/20,6166
1/30/20,8234
1/31/20,9927
2/1/20,12038
2/2/20,16787
2/3/20,19881
2/4/20,23892
2/5/20,27635
2/6/20,30794
2/7/20,34391
2/8/20,37120
2/9/20,40150
2/10/20,42762
2/11/20,44802
2/12/20,45221
2/13/20,60368
2/14/20,66885
2/15/20,69030
2/16/20,71224
2/17/20,73258
2/18/20,75136
2/19/20,75639
2/20/20,76197
2/21/20,76819
2/22/20,78572
2/23/20,78958
2/24/20,79561
2/25/20,80406
2/26/20,81388
2/27/20,82746
2/28/20,84112
2/29/20,86011
3/1/20,88369
3/2/20,90306
3/3/20,92840
3/4/20,95120
3/5/20,97886
3/6/20,101801
3/7/20,105847
3/8/20,109821
3/9/20,113590
3/10/20,118620
3/11/20,125875
3/12/20,128352
3/13/20,145205
3/14/20,156101
3/15/20,167454
3/16/20,181574
3/17/20,197102
3/18/20,214821
3/19/20,242570
3/20/20,272208
3/21/20,304507
3/22/20,336953
3/23/20,378231
3/24/20,418041
3/25/20,467653
3/26/20,529591
3/27/20,593291
3/28/20,660693
3/29/20,720140
3/30/20,782389
3/31/20,857487
4/1/20,932475
4/2/20,1013326
4/3/20,1095698
4/4/20,1175857
4/5/20,1249484
4/6/20,1321131
4/7/20,1396092
4/8/20,1479804
4/9/20,1565278
4/10/20,1657526
4/11/20,1735650
4/12/20,1834721
4/13/20,1904838
4/14/20,1976191
4/15/20,2056054
4/16/20,2152437
4/17/20,2240190
4/18/20,2317758
4/19/20,2401101
4/20/20,2472258
4/21/20,2549122
4/22/20,2624089
4/23/20,2708884
