ds,y
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,1
2/2/20,1
2/3/20,1
2/4/20,1
2/5/20,1
2/6/20,1
2/7/20,1
2/8/20,1
2/9/20,2
2/10/20,2
2/11/20,2
2/12/20,2
2/13/20,2
2/14/20,2
2/15/20,2
2/16/20,2
2/17/20,2
2/18/20,2
2/19/20,2
2/20/20,2
2/21/20,2
2/22/20,2
2/23/20,2
2/24/20,2
2/25/20,6
2/26/20,13
2/27/20,15
2/28/20,32
2/29/20,45
3/1/20,84
3/2/20,120
3/3/20,165
3/4/20,222
3/5/20,259
3/6/20,400
3/7/20,500
3/8/20,673
3/9/20,1073
3/10/20,1695
3/11/20,2277
3/12/20,2277
3/13/20,5232
3/14/20,6391
3/15/20,7798
3/16/20,9942
3/17/20,11748
3/18/20,13910
3/19/20,17963
3/20/20,20410
3/21/20,25374
3/22/20,28768
3/23/20,35136
3/24/20,39885
3/25/20,49515
3/26/20,57786
3/27/20,65719
3/28/20,73235
3/29/20,80110
3/30/20,87956
3/31/20,95923
4/1/20,104118
4/2/20,112065
4/3/20,119199
4/4/20,126168
4/5/20,131646
4/6/20,136675
4/7/20,141942
4/8/20,148220
4/9/20,153222
4/10/20,158273
4/11/20,163027
4/12/20,166831
4/13/20,170099
4/14/20,172541
4/15/20,177644
4/16/20,184948
4/17/20,190839
4/18/20,191726
4/19/20,198674
4/20/20,200210
4/21/20,204178
4/22/20,208389
4/23/20,213024
4/24/20,219764
4/25/20,223759
